            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
111031228,Merewether - The Junction," 8,970 "," 8,900 "," 9,101 "," 9,230 ","9,345", 43 , 44 , 43 , 44 , 44 ," 727,882,746 "," 736,659,188 "," 778,568,580 "," 821,455,618 ","851,472,941"," 56,590 "," 57,283 "," 58,049 "," 59,529 ","63,659"," 81,146 "," 82,771 "," 85,548 "," 88,998 ","91,115",,,,,,,,,
111031229,Newcastle - Cooks Hill," 7,167 "," 7,291 "," 7,703 "," 7,898 ","7,974", 39 , 39 , 39 , 40 , 40 ," 584,917,663 "," 596,564,668 "," 635,866,229 "," 705,369,484 ","726,115,979"," 55,907 "," 56,505 "," 57,578 "," 59,816 ","61,524"," 81,613 "," 81,822 "," 82,548 "," 89,310 ","91,060",,,,,,,,,
111031230,Newcastle Port - Kooragang, np , np , 12 , 17 , 8 , np , np , 52 , 46 , 51 , np , np ," 736,354 "," 866,999 ","388,578", np , np ," 40,249 "," 38,680 ","37,066", np , np ," 61,363 "," 51,000 ","48,572",,,,,,,,,
111031231,Shortland - Jesmond," 4,245 "," 4,434 "," 4,733 "," 5,011 ","5,308", 34 , 34 , 33 , 33 , 32 ," 177,384,961 "," 189,385,636 "," 201,671,588 "," 222,965,094 ","242,936,885"," 35,909 "," 37,258 "," 35,932 "," 38,257 ","38,938"," 41,787 "," 42,712 "," 42,610 "," 44,495 ","45,768",,,,,,,,,
111031232,Stockton - Fullerton Cove," 3,439 "," 3,639 "," 4,068 "," 4,238 ","4,390", 48 , 48 , 47 , 46 , 46 ," 197,620,206 "," 213,733,975 "," 240,353,023 "," 256,893,518 ","275,930,284"," 47,227 "," 48,040 "," 49,060 "," 51,239 ","53,692"," 57,464 "," 58,734 "," 59,084 "," 60,617 ","62,854",,,,,,,,,
111031233,Wallsend - Elermore Vale," 10,115 "," 10,070 "," 10,294 "," 10,563 ","10,816", 43 , 43 , 42 , 41 , 41 ," 545,753,432 "," 547,830,669 "," 565,931,980 "," 601,578,127 ","631,736,287"," 45,681 "," 46,648 "," 47,082 "," 49,501 ","50,759"," 53,955 "," 54,402 "," 54,977 "," 56,951 ","58,408",,,,,,,,,
111031234,Waratah - North Lambton," 6,038 "," 6,063 "," 6,316 "," 6,474 ","6,610", 39 , 38 , 38 , 38 , 38 ," 321,337,128 "," 326,871,293 "," 343,460,654 "," 374,824,308 ","395,573,585"," 47,224 "," 47,825 "," 48,093 "," 51,050 ","53,370"," 53,219 "," 53,912 "," 54,379 "," 57,897 ","59,845",,,,,,,,,
111031235,Wickham - Carrington - Tighes Hill," 4,716 "," 4,728 "," 4,869 "," 5,068 ","5,350", 37 , 38 , 38 , 38 , 38 ," 271,547,913 "," 282,512,300 "," 299,600,582 "," 325,011,957 ","353,171,988"," 49,130 "," 50,488 "," 53,424 "," 55,223 ","56,552"," 57,580 "," 59,753 "," 61,532 "," 64,130 ","66,013",,,,,,,,,
112011236,Ballina," 8,938 "," 9,251 "," 9,519 "," 9,713 ","9,883", 50 , 50 , 50 , 50 , 50 ," 401,784,615 "," 431,971,745 "," 439,742,986 "," 476,118,237 ","493,734,247"," 36,856 "," 38,117 "," 38,455 "," 40,426 ","42,102"," 44,952 "," 46,695 "," 46,196 "," 49,019 ","49,958",,,,,,,,,
112011237,Ballina Region," 9,574 "," 9,884 "," 10,018 "," 10,267 ","10,458", 49 , 49 , 49 , 48 , 48 ," 462,381,438 "," 504,741,290 "," 513,384,034 "," 550,960,939 ","570,972,555"," 38,321 "," 39,782 "," 40,123 "," 41,982 ","43,457"," 48,296 "," 51,067 "," 51,246 "," 53,663 ","54,597",,,,,,,,,
112011238,Bangalow," 3,773 "," 3,910 "," 4,004 "," 4,164 ","4,350", 47 , 46 , 46 , 46 , 46 ," 203,645,907 "," 213,332,682 "," 226,736,081 "," 237,558,294 ","273,443,913"," 33,257 "," 35,210 "," 36,816 "," 37,805 ","39,994"," 53,975 "," 54,561 "," 56,627 "," 57,051 ","62,861",,,,,,,,,
112011239,Brunswick Heads - Ocean Shores," 4,618 "," 4,814 "," 5,023 "," 5,166 ","5,323", 47 , 47 , 47 , 46 , 46 ," 200,344,710 "," 211,258,496 "," 220,705,925 "," 238,666,880 ","256,293,882"," 33,507 "," 34,186 "," 35,282 "," 36,472 ","38,261"," 43,383 "," 43,884 "," 43,939 "," 46,200 ","48,148",,,,,,,,,
112011240,Byron Bay," 6,879 "," 7,177 "," 7,422 "," 7,461 ","7,746", 41 , 40 , 40 , 40 , 39 ," 343,100,482 "," 373,358,838 "," 397,609,702 "," 407,060,343 ","439,663,650"," 32,900 "," 33,722 "," 33,570 "," 35,241 ","36,175"," 49,877 "," 52,022 "," 53,572 "," 54,558 ","56,760",,,,,,,,,
112011241,Evans Head," 2,502 "," 2,513 "," 2,643 "," 2,725 ","2,743", 48 , 48 , 49 , 49 , 48 ," 109,225,243 "," 113,658,259 "," 119,611,505 "," 130,848,289 ","135,372,916"," 37,237 "," 38,322 "," 39,136 "," 40,424 ","42,793"," 43,655 "," 45,228 "," 45,256 "," 48,018 ","49,352",,,,,,,,,
112011242,Lennox Head - Skennars Head," 4,968 "," 5,209 "," 5,365 "," 5,544 ","5,711", 46 , 46 , 46 , 46 , 47 ," 288,836,743 "," 306,616,382 "," 321,635,247 "," 346,243,308 ","363,032,459"," 42,037 "," 43,123 "," 44,947 "," 45,565 ","47,536"," 58,139 "," 58,863 "," 59,951 "," 62,454 ","63,567",,,,,,,,,
112011243,Mullumbimby," 4,488 "," 4,657 "," 4,872 "," 5,070 ","5,348", 48 , 48 , 48 , 48 , 47 ," 181,938,267 "," 185,541,453 "," 200,385,468 "," 218,219,055 ","231,999,516"," 29,247 "," 29,171 "," 30,287 "," 31,061 ","32,131"," 40,539 "," 39,841 "," 41,130 "," 43,041 ","43,381",,,,,,,,,
112021244,Casino," 5,274 "," 5,286 "," 5,441 "," 5,671 ","5,749", 45 , 45 , 45 , 45 , 44 ," 225,618,013 "," 228,143,674 "," 239,807,092 "," 249,547,664 ","264,259,708"," 40,221 "," 40,210 "," 40,912 "," 41,668 ","44,315"," 42,779 "," 43,160 "," 44,074 "," 44,004 ","45,966",,,,,,,,,
112021245,Casino Region," 3,207 "," 3,208 "," 3,428 "," 3,534 ","3,600", 49 , 48 , 49 , 49 , 48 ," 122,005,549 "," 128,978,791 "," 137,321,263 "," 140,894,878 ","143,962,841"," 34,444 "," 35,954 "," 36,037 "," 35,732 ","36,880"," 38,044 "," 40,205 "," 40,059 "," 39,868 ","39,990",,,,,,,,,
112021246,Goonellabah," 6,621 "," 6,627 "," 6,702 "," 6,877 ","7,037", 44 , 45 , 45 , 44 , 44 ," 313,409,084 "," 325,547,818 "," 329,630,447 "," 348,561,797 ","366,380,789"," 41,641 "," 43,339 "," 43,750 "," 44,874 ","46,381"," 47,336 "," 49,124 "," 49,184 "," 50,685 ","52,065",,,,,,,,,
112021247,Kyogle," 3,552 "," 3,542 "," 3,695 "," 3,787 ","3,815", 50 , 50 , 50 , 50 , 51 ," 135,861,103 "," 141,867,979 "," 148,560,972 "," 155,597,722 ","158,649,279"," 31,445 "," 32,708 "," 33,275 "," 33,331 ","34,140"," 38,249 "," 40,053 "," 40,206 "," 41,087 ","41,586",,,,,,,,,
112021248,Lismore," 7,464 "," 7,589 "," 7,524 "," 7,741 ","7,878", 44 , 44 , 45 , 44 , 44 ," 326,533,372 "," 338,215,982 "," 336,705,467 "," 353,732,309 ","374,372,087"," 38,747 "," 39,734 "," 40,344 "," 41,317 ","43,466"," 43,748 "," 44,567 "," 44,751 "," 45,696 ","47,521",,,,,,,,,
112021249,Lismore Region," 8,508 "," 8,544 "," 9,026 "," 9,182 ","9,328", 50 , 50 , 49 , 49 , 49 ," 388,800,004 "," 403,496,748 "," 432,631,195 "," 447,416,596 ","468,418,586"," 36,311 "," 37,308 "," 37,990 "," 38,857 ","40,413"," 45,698 "," 47,226 "," 47,932 "," 48,728 ","50,216",,,,,,,,,
112031250,Kingscliff - Fingal Head," 6,664 "," 7,127 "," 7,640 "," 7,955 ","8,208", 46 , 46 , 46 , 46 , 46 ," 383,608,229 "," 422,388,935 "," 468,793,335 "," 502,886,610 ","547,582,642"," 42,009 "," 43,513 "," 43,965 "," 45,819 ","47,677"," 57,564 "," 59,266 "," 61,360 "," 63,216 ","66,713",,,,,,,,,
112031251,Murwillumbah," 4,191 "," 4,402 "," 4,486 "," 4,570 ","4,716", 46 , 47 , 46 , 46 , 46 ," 177,240,575 "," 191,382,780 "," 197,345,799 "," 205,267,115 ","217,809,416"," 36,999 "," 37,583 "," 38,096 "," 39,564 ","40,844"," 42,291 "," 43,476 "," 43,991 "," 44,916 ","46,185",,,,,,,,,
112031252,Murwillumbah Region," 5,150 "," 5,176 "," 5,427 "," 5,542 ","5,617", 50 , 50 , 50 , 49 , 50 ," 227,761,077 "," 231,992,599 "," 246,325,237 "," 265,930,636 ","266,861,242"," 34,806 "," 36,003 "," 36,751 "," 37,551 ","38,114"," 44,225 "," 44,821 "," 45,389 "," 47,985 ","47,510",,,,,,,,,
112031253,Pottsville," 6,937 "," 7,118 "," 7,525 "," 7,673 ","7,791", 45 , 45 , 46 , 45 , 46 ," 332,709,498 "," 349,157,726 "," 369,673,543 "," 388,857,865 ","403,132,965"," 38,187 "," 38,464 "," 38,919 "," 40,551 ","41,969"," 47,962 "," 49,053 "," 49,126 "," 50,679 ","51,743",,,,,,,,,
112031254,Tweed Heads," 9,565 "," 9,960 "," 10,235 "," 10,539 ","10,656", 47 , 47 , 47 , 47 , 47 ," 454,763,516 "," 479,278,678 "," 498,028,634 "," 517,409,008 ","542,514,682"," 37,981 "," 38,964 "," 39,481 "," 40,276 ","42,020"," 47,545 "," 48,120 "," 48,659 "," 49,095 ","50,912",,,,,,,,,
112031550,Banora Point," 8,207 "," 8,375 "," 8,570 "," 8,676 ","8,717", 48 , 47 , 47 , 47 , 47 ," 380,775,748 "," 397,261,964 "," 408,773,527 "," 427,738,701 ","445,718,053"," 38,777 "," 40,674 "," 40,405 "," 41,750 ","43,727"," 46,396 "," 47,434 "," 47,698 "," 49,301 ","51,132",,,,,,,,,
112031551,Terranora - North Tumblegum," 1,896 "," 1,950 "," 2,061 "," 2,061 ","2,082", 47 , 46 , 46 , 46 , 46 ," 106,759,329 "," 110,122,183 "," 114,144,874 "," 118,808,523 ","121,602,327"," 42,894 "," 44,256 "," 43,143 "," 44,943 ","46,327"," 56,308 "," 56,473 "," 55,383 "," 57,646 ","58,406",,,,,,,,,
112031552,Tweed Heads South," 3,387 "," 3,520 "," 3,499 "," 3,576 ","3,768", 47 , 47 , 48 , 47 , 48 ," 139,369,457 "," 149,839,933 "," 150,084,029 "," 159,399,417 ","174,657,479"," 35,456 "," 37,182 "," 37,900 "," 38,872 ","39,557"," 41,148 "," 42,568 "," 42,893 "," 44,575 ","46,353",,,,,,,,,
113011256,Griffith (NSW)," 10,680 "," 11,238 "," 11,832 "," 12,159 ","12,516", 41 , 40 , 39 , 39 , 39 ," 526,970,476 "," 566,637,077 "," 603,707,717 "," 639,444,506 ","696,926,113"," 42,886 "," 43,725 "," 45,059 "," 46,826 ","50,158"," 49,342 "," 50,422 "," 51,023 "," 52,590 ","55,683",,,,,,,,,
113011257,Griffith Region," 7,679 "," 7,296 "," 7,624 "," 7,958 ","7,755", 44 , 44 , 44 , 44 , 44 ," 398,708,274 "," 382,086,223 "," 402,400,148 "," 419,525,195 ","428,604,518"," 42,626 "," 43,365 "," 44,623 "," 46,342 ","49,186"," 51,922 "," 52,369 "," 52,781 "," 52,717 ","55,268",,,,,,,,,
113011258,Leeton," 5,396 "," 5,393 "," 5,482 "," 5,645 ","5,703", 44 , 44 , 44 , 44 , 43 ," 259,205,607 "," 270,063,882 "," 280,211,226 "," 291,150,314 ","305,258,260"," 43,940 "," 45,252 "," 45,921 "," 46,730 ","48,646"," 48,037 "," 50,077 "," 51,115 "," 51,577 ","53,526",,,,,,,,,
113011259,Narrandera," 3,162 "," 2,997 "," 3,201 "," 3,212 ","3,201", 48 , 47 , 47 , 47 , 47 ," 147,974,981 "," 144,754,186 "," 157,012,414 "," 147,268,555 ","151,491,309"," 40,119 "," 42,589 "," 42,725 "," 42,338 ","44,083"," 46,798 "," 48,300 "," 49,051 "," 45,849 ","47,326",,,,,,,,,
113021260,Tumbarumba," 1,876 "," 1,897 "," 1,990 "," 1,996 ","1,944", 49 , 49 , 49 , 49 , 49 ," 92,791,978 "," 95,140,909 "," 101,463,557 "," 102,500,898 ","99,251,971"," 42,220 "," 41,598 "," 42,455 "," 43,642 ","43,675"," 49,463 "," 50,153 "," 50,987 "," 51,353 ","51,056",,,,,,,,,
113021261,Tumut," 3,346 "," 3,310 "," 3,326 "," 3,315 ","3,311", 45 , 45 , 44 , 44 , 44 ," 177,719,780 "," 179,634,220 "," 182,831,247 "," 186,839,136 ","192,412,082"," 45,431 "," 46,167 "," 47,432 "," 48,252 ","50,993"," 53,114 "," 54,270 "," 54,970 "," 56,362 ","58,113",,,,,,,,,
113021262,Tumut Region," 2,450 "," 2,525 "," 2,614 "," 2,623 ","2,599", 48 , 48 , 48 , 49 , 48 ," 126,244,644 "," 132,277,367 "," 136,354,332 "," 139,573,073 ","137,625,524"," 42,891 "," 44,029 "," 42,701 "," 44,052 ","45,144"," 51,528 "," 52,387 "," 52,163 "," 53,211 ","52,953",,,,,,,,,
113031263,Cootamundra," 3,882 "," 3,933 "," 3,801 "," 3,766 ","3,752", 48 , 47 , 48 , 49 , 49 ," 194,216,822 "," 195,764,885 "," 194,088,275 "," 193,776,894 ","196,403,607"," 41,797 "," 41,697 "," 42,026 "," 43,123 ","45,124"," 50,030 "," 49,775 "," 51,062 "," 51,454 ","52,346",,,,,,,,,
113031264,Gundagai," 1,951 "," 1,912 "," 1,980 "," 1,999 ","2,012", 47 , 46 , 46 , 46 , 46 ," 98,037,931 "," 101,527,484 "," 104,795,422 "," 103,285,039 ","96,327,089"," 40,601 "," 41,894 "," 42,468 "," 43,224 ","41,481"," 50,250 "," 53,100 "," 52,927 "," 51,668 ","47,876",,,,,,,,,
113031265,Junee," 2,752 "," 2,778 "," 2,881 "," 2,967 ","2,976", 44 , 44 , 45 , 45 , 45 ," 137,799,165 "," 144,035,452 "," 152,820,960 "," 153,323,296 ","157,802,606"," 43,241 "," 44,696 "," 45,841 "," 46,695 ","48,454"," 50,072 "," 51,849 "," 53,044 "," 51,676 ","53,025",,,,,,,,,
113031266,Temora," 3,589 "," 3,434 "," 3,642 "," 3,688 ","3,644", 49 , 48 , 48 , 49 , 49 ," 167,317,184 "," 171,003,767 "," 179,250,021 "," 168,725,081 ","168,841,109"," 39,245 "," 40,314 "," 40,142 "," 37,996 ","39,811"," 46,619 "," 49,797 "," 49,217 "," 45,750 ","46,334",,,,,,,,,
113031267,Wagga Wagga - East," 9,789 "," 9,825 "," 9,860 "," 10,008 ","10,043", 44 , 44 , 44 , 44 , 44 ," 566,368,993 "," 594,633,703 "," 596,402,835 "," 618,493,249 ","632,866,625"," 46,921 "," 48,554 "," 49,090 "," 51,149 ","51,814"," 57,858 "," 60,523 "," 60,487 "," 61,800 ","63,016",,,,,,,,,
113031268,Wagga Wagga - North," 2,091 "," 2,174 "," 2,440 "," 2,678 ","2,861", 39 , 38 , 38 , 38 , 38 ," 115,700,170 "," 125,141,842 "," 142,544,376 "," 163,167,800 ","177,953,023"," 47,021 "," 49,204 "," 50,764 "," 52,107 ","54,205"," 55,332 "," 57,563 "," 58,420 "," 60,929 ","62,200",,,,,,,,,
113031269,Wagga Wagga - South," 11,457 "," 11,442 "," 11,744 "," 12,079 ","12,293", 41 , 41 , 41 , 41 , 41 ," 625,947,640 "," 646,585,772 "," 671,372,926 "," 708,561,992 ","743,483,713"," 48,261 "," 49,705 "," 50,149 "," 52,127 ","54,150"," 54,635 "," 56,510 "," 57,167 "," 58,661 ","60,480",,,,,,,,,
113031270,Wagga Wagga - West," 7,132 "," 7,333 "," 7,107 "," 6,770 ","6,724", 42 , 43 , 41 , 41 , 40 ," 403,432,536 "," 426,173,355 "," 413,682,431 "," 403,366,483 ","415,408,686"," 46,633 "," 46,591 "," 47,099 "," 49,220 ","50,872"," 56,567 "," 58,117 "," 58,208 "," 59,581 ","61,780",,,,,,,,,
113031271,Wagga Wagga Region," 7,650 "," 7,702 "," 8,263 "," 8,687 ","8,943", 45 , 45 , 44 , 44 , 44 ," 406,076,168 "," 430,317,290 "," 464,476,673 "," 476,867,945 ","498,366,094"," 44,638 "," 47,096 "," 47,997 "," 47,824 ","49,788"," 53,082 "," 55,871 "," 56,212 "," 54,894 ","55,727",,,,,,,,,
114011272,Berry - Kangaroo Valley," 4,919 "," 4,944 "," 5,092 "," 5,064 ","5,095", 53 , 53 , 53 , 53 , 53 ," 259,600,439 "," 268,822,375 "," 291,961,906 "," 290,871,005 ","306,272,770"," 38,777 "," 40,896 "," 41,383 "," 41,829 ","42,649"," 52,775 "," 54,373 "," 57,337 "," 57,439 ","60,112",,,,,,,,,
114011273,Callala Bay - Currarong," 1,758 "," 1,783 "," 1,819 "," 1,875 ","1,914", 49 , 50 , 51 , 51 , 50 ," 79,075,766 "," 80,468,492 "," 84,826,273 "," 89,338,060 ","99,480,044"," 35,874 "," 36,657 "," 37,440 "," 38,214 ","41,763"," 44,981 "," 45,131 "," 46,633 "," 47,647 ","51,975",,,,,,,,,
114011274,Culburra Beach," 2,467 "," 2,515 "," 2,569 "," 2,574 ","2,617", 50 , 51 , 50 , 50 , 50 ," 109,089,620 "," 111,713,860 "," 119,351,984 "," 123,990,626 ","130,811,868"," 37,365 "," 37,021 "," 38,733 "," 40,563 ","42,197"," 44,220 "," 44,419 "," 46,459 "," 48,170 ","49,985",,,,,,,,,
114011275,Ettrema - Sassafras - Budawang, 25 , 30 , 28 , 25 , 29 , 50 , 54 , 54 , 58 , 58 ," 786,231 "," 1,313,756 "," 756,162 "," 682,305 ","-79,683"," 37,996 "," 24,139 "," 21,902 "," 35,417 ","30,750"," 31,449 "," 43,792 "," 27,006 "," 27,292 ","-2,748",,,,,,,,,
114011276,Huskisson - Vincentia," 2,531 "," 2,500 "," 2,604 "," 2,718 ","2,790", 52 , 52 , 53 , 51 , 51 ," 133,731,080 "," 135,659,704 "," 140,714,528 "," 150,332,729 ","166,525,255"," 41,154 "," 41,114 "," 40,935 "," 43,474 ","46,311"," 52,837 "," 54,264 "," 54,038 "," 55,310 ","59,686",,,,,,,,,
114011277,North Nowra - Bomaderry," 8,126 "," 8,170 "," 8,445 "," 8,444 ","8,465", 46 , 46 , 46 , 46 , 45 ," 418,920,257 "," 427,796,587 "," 449,355,359 "," 458,066,794 ","466,882,069"," 41,270 "," 42,546 "," 43,497 "," 44,989 ","45,870"," 51,553 "," 52,362 "," 53,210 "," 54,248 ","55,154",,,,,,,,,
114011278,Nowra," 8,468 "," 8,954 "," 9,156 "," 9,519 ","9,758", 42 , 42 , 41 , 41 , 41 ," 414,144,187 "," 446,496,647 "," 462,598,502 "," 496,844,664 ","517,106,776"," 41,901 "," 42,658 "," 43,256 "," 45,123 ","46,021"," 48,907 "," 49,866 "," 50,524 "," 52,195 ","52,993",,,,,,,,,
114011279,St Georges Basin - Erowal Bay," 5,775 "," 5,997 "," 6,342 "," 6,587 ","6,717", 47 , 47 , 46 , 46 , 46 ," 248,461,363 "," 263,685,946 "," 277,760,269 "," 295,056,102 ","312,937,268"," 37,470 "," 38,086 "," 38,258 "," 39,334 ","41,247"," 43,024 "," 43,970 "," 43,797 "," 44,794 ","46,589",,,,,,,,,
114011280,Sussex Inlet - Berrara," 1,828 "," 1,873 "," 1,923 "," 1,911 ","1,981", 53 , 53 , 52 , 52 , 52 ," 73,581,048 "," 73,158,110 "," 76,848,319 "," 81,044,578 ","85,215,961"," 32,298 "," 32,106 "," 34,048 "," 35,662 ","36,625"," 40,252 "," 39,059 "," 39,963 "," 42,410 ","43,017",,,,,,,,,
114011281,Tomerong - Wandandian - Woollamia," 2,053 "," 2,036 "," 2,030 "," 2,076 ","2,101", 48 , 47 , 48 , 48 , 48 ," 101,866,999 "," 103,207,383 "," 103,336,186 "," 109,002,431 ","114,370,053"," 40,216 "," 41,047 "," 43,539 "," 45,445 ","46,203"," 49,619 "," 50,691 "," 50,905 "," 52,506 ","54,436",,,,,,,,,
114011282,Ulladulla," 7,709 "," 7,970 "," 8,300 "," 8,467 ","8,584", 50 , 50 , 50 , 50 , 49 ," 321,226,630 "," 340,088,916 "," 362,128,227 "," 375,335,931 ","396,897,589"," 32,370 "," 33,545 "," 34,879 "," 36,111 ","37,213"," 41,669 "," 42,671 "," 43,630 "," 44,329 ","46,237",,,,,,,,,
114011283,Ulladulla Region," 2,578 "," 2,661 "," 2,797 "," 2,838 ","2,885", 52 , 53 , 52 , 52 , 53 ," 107,658,342 "," 115,741,310 "," 121,619,777 "," 125,831,088 ","134,690,067"," 31,413 "," 33,318 "," 34,332 "," 34,770 ","35,295"," 41,760 "," 43,495 "," 43,482 "," 44,338 ","46,686",,,,,,,,,
114021284,Bowral," 7,763 "," 7,747 "," 7,948 "," 8,085 ","8,089", 54 , 55 , 55 , 55 , 55 ," 502,738,483 "," 523,648,619 "," 549,118,548 "," 576,143,456 ","595,944,335"," 40,350 "," 40,757 "," 41,802 "," 43,819 ","45,544"," 64,761 "," 67,594 "," 69,089 "," 71,261 ","73,673",,,,,,,,,
114021285,Hill Top - Colo Vale," 3,309 "," 3,390 "," 3,572 "," 3,668 ","3,715", 43 , 43 , 43 , 42 , 42 ," 171,578,780 "," 182,627,187 "," 194,914,815 "," 210,797,589 ","223,705,141"," 45,384 "," 46,839 "," 46,417 "," 49,501 ","51,306"," 51,852 "," 53,872 "," 54,567 "," 57,469 ","60,217",,,,,,,,,
114021286,Mittagong," 4,923 "," 5,144 "," 5,495 "," 5,651 ","5,868", 48 , 47 , 47 , 47 , 47 ," 282,321,309 "," 305,382,830 "," 354,668,370 "," 360,998,190 ","385,203,060"," 40,455 "," 43,011 "," 44,014 "," 45,585 ","47,845"," 57,347 "," 59,367 "," 64,544 "," 63,882 ","65,645",,,,,,,,,
114021287,Moss Vale - Berrima," 5,233 "," 5,303 "," 5,672 "," 5,715 ","5,746", 46 , 46 , 46 , 46 , 46 ," 276,846,851 "," 294,591,049 "," 311,811,130 "," 321,412,260 ","336,287,834"," 42,879 "," 43,554 "," 43,952 "," 44,914 ","46,952"," 52,904 "," 55,552 "," 54,974 "," 56,240 ","58,526",,,,,,,,,
114021288,Robertson - Fitzroy Falls," 2,104 "," 2,179 "," 2,270 "," 2,247 ","2,299", 50 , 50 , 50 , 50 , 50 ," 138,479,153 "," 152,306,391 "," 163,409,378 "," 157,136,713 ","169,719,430"," 40,611 "," 43,238 "," 44,560 "," 43,855 ","45,526"," 65,817 "," 69,897 "," 71,987 "," 69,932 ","73,823",,,,,,,,,
114021289,Southern Highlands," 3,771 "," 3,785 "," 3,927 "," 4,149 ","4,191", 53 , 52 , 53 , 53 , 53 ," 196,882,989 "," 202,335,909 "," 223,408,606 "," 244,129,728 ","247,191,532"," 37,001 "," 37,842 "," 39,468 "," 40,387 ","41,450"," 52,210 "," 53,457 "," 56,890 "," 58,841 ","58,982",,,,,,,,,
115011290,Baulkham Hills (East)," 13,328 "," 13,453 "," 13,953 "," 14,375 ","14,530", 43 , 43 , 42 , 42 , 42 ," 830,001,434 "," 864,322,907 "," 920,451,729 "," 978,337,605 ","1,026,376,072"," 52,019 "," 53,250 "," 55,135 "," 55,752 ","58,854"," 62,275 "," 64,248 "," 65,968 "," 68,058 ","70,638",,,,,,,,,
115011291,Baulkham Hills (West) - Bella Vista," 12,790 "," 12,750 "," 13,397 "," 13,654 ","13,807", 45 , 45 , 45 , 45 , 44 ," 913,493,691 "," 930,758,160 "," 986,913,719 "," 1,028,561,284 ","1,072,903,712"," 53,703 "," 54,110 "," 54,735 "," 55,811 ","58,438"," 71,422 "," 73,001 "," 73,667 "," 75,330 ","77,707",,,,,,,,,
115011294,Glenhaven," 4,201 "," 4,165 "," 4,254 "," 4,270 ","4,187", 49 , 50 , 50 , 50 , 51 ," 343,876,095 "," 407,538,114 "," 356,910,309 "," 391,055,261 ","389,872,734"," 50,112 "," 51,009 "," 52,768 "," 54,046 ","56,874"," 81,856 "," 97,848 "," 83,900 "," 91,582 ","93,115",,,,,,,,,
115011296,West Pennant Hills," 8,700 "," 8,566 "," 8,774 "," 8,893 ","8,950", 48 , 48 , 48 , 47 , 48 ," 741,017,533 "," 731,868,414 "," 746,561,832 "," 771,143,123 ","792,726,322"," 53,907 "," 55,096 "," 55,074 "," 57,654 ","58,989"," 85,174 "," 85,439 "," 85,088 "," 86,713 ","88,573",,,,,,,,,
115011553,Castle Hill - Central," 4,617 "," 4,549 "," 4,648 "," 4,660 ","4,769", 43 , 43 , 44 , 43 , 44 ," 300,650,556 "," 303,321,682 "," 317,338,799 "," 332,431,016 ","338,309,091"," 50,992 "," 51,851 "," 53,559 "," 53,187 ","55,133"," 65,118 "," 66,679 "," 68,274 "," 71,337 ","70,939",,,,,,,,,
115011554,Castle Hill - East," 3,060 "," 3,101 "," 3,222 "," 3,304 ","3,285", 48 , 48 , 49 , 50 , 50 ," 220,239,052 "," 222,574,902 "," 228,075,643 "," 243,468,994 ","252,146,107"," 48,100 "," 48,972 "," 46,897 "," 48,308 ","50,466"," 71,974 "," 71,775 "," 70,787 "," 73,689 ","76,757",,,,,,,,,
115011555,Castle Hill - North," 7,599 "," 7,510 "," 7,649 "," 7,751 ","7,867", 47 , 47 , 47 , 47 , 47 ," 562,717,224 "," 562,871,490 "," 591,568,073 "," 596,944,879 ","637,158,117"," 52,307 "," 51,906 "," 53,492 "," 54,829 ","56,066"," 74,051 "," 74,950 "," 77,339 "," 77,015 ","80,991",,,,,,,,,
115011556,Castle Hill - South," 5,885 "," 5,823 "," 5,989 "," 6,139 ","6,357", 45 , 44 , 44 , 44 , 44 ," 417,355,996 "," 427,318,730 "," 441,739,632 "," 458,191,193 ","482,389,709"," 52,563 "," 53,927 "," 54,446 "," 55,092 ","55,854"," 70,919 "," 73,385 "," 73,758 "," 74,636 ","75,883",,,,,,,,,
115011557,Castle Hill - West," 3,308 "," 3,335 "," 3,383 "," 3,464 ","3,473", 44 , 45 , 45 , 45 , 45 ," 248,839,562 "," 258,637,319 "," 260,414,683 "," 272,984,044 ","279,627,256"," 58,568 "," 58,665 "," 56,948 "," 58,446 ","61,705"," 75,224 "," 77,552 "," 76,977 "," 78,806 ","80,515",,,,,,,,,
115011558,Cherrybrook," 12,016 "," 12,149 "," 12,193 "," 12,457 ","12,558", 47 , 47 , 46 , 47 , 47 ," 836,529,626 "," 861,061,091 "," 870,720,996 "," 909,780,720 ","939,508,503"," 50,744 "," 51,746 "," 52,464 "," 53,614 ","55,852"," 69,618 "," 70,875 "," 71,412 "," 73,034 ","74,814",,,,,,,,,
115011559,Kellyville," 13,084 "," 13,617 "," 14,609 "," 15,377 ","16,028", 42 , 43 , 43 , 43 , 43 ," 910,339,047 "," 970,630,193 "," 1,060,572,170 "," 1,142,789,179 ","1,214,676,013"," 55,461 "," 56,820 "," 57,965 "," 58,654 ","61,038"," 69,577 "," 71,281 "," 72,597 "," 74,318 ","75,785",,,,,,,,,
