,2015,2016,2017,2018,2019,prelim 2020
locality,Median,Median,Median,Median,Median,Median
THOMSON (GREATER GEELONG),310500,308000,327000,365000,400500,393000
THORNBURY,507500,519000,550000,560000,602000,545000
TOORAK,1000000,1198000,985000,986500,1085500,865500
TORQUAY,472000,485000,599000,660000,615000,680000
TRAFALGAR,235000,250000,275000,297500,310000,NA
TRARALGON,209000,225000,205000,213500,215000,215000
TRAVANCORE,352000,363000,352500,348500,348000,350500
TRUGANINA,325000,334000,408000,430000,415000,412000
TULLAMARINE,362500,399500,472500,486000,480000,482500
TYABB,308000,320000,389000,428000,443000,479000
VERMONT,677500,680000,741500,757500,725000,673000
VERMONT SOUTH,838000,699000,595000,795000,772500,951000
VIEWBANK,557500,510000,655000,580000,643500,568000
WALLAN,263000,277000,310000,330000,360000,380000
WALLAN EAST,245000,277000,322000,376500,358000,365000
WANGARATTA,210000,202000,190000,202500,229500,252000
WANTIRNA,557500,575000,615000,667500,635000,740000
WANTIRNA SOUTH,485000,501500,510000,520000,495000,372500
WARRAGUL,242500,263000,290000,312500,300000,338500
WARRNAMBOOL,255000,252500,257000,252000,280000,264000
WATSONIA,521000,549500,570000,525000,495000,625000
WENDOUREE,209000,240000,232500,225000,270000,280000
WERRIBEE,287500,305000,360000,390000,380000,371000
WERRIBEE SOUTH,589000,432000,480000,420000,465000,718000
WEST FOOTSCRAY,440000,429500,482500,432500,450000,421500
WEST MELBOURNE,540500,530000,559000,555000,599000,466000
WEST WODONGA,198000,205000,208000,215000,235000,217500
WESTALL,530000,426500,585000,570000,570000,440000
WESTGARTH,502000,485000,567500,538000,550000,700000
WESTMEADOWS,399500,410000,455000,521000,510500,518000
WHEELERS HILL,632500,753500,862500,826000,803000,1018500
WHITE HILLS,210000,295000,260000,299000,255000,300000
WHITTINGTON,218500,209000,225000,330500,299000,350000
WHITTLESEA,281000,295000,337500,407500,330000,395000
WILLIAMS LANDING,375000,359000,389000,439000,395000,415000
WILLIAMSTOWN,563000,615000,715000,652000,600000,650000
WILLIAMSTOWN NORTH,489500,548000,531500,577000,737500,700000
WINCHELSEA,292000,280000,315000,316000,348000,290000
WINDSOR,505000,556000,555000,535000,487500,530000
WODONGA,188500,206000,240000,233500,221500,207500
WOLLERT,339000,390000,420000,406000,420000,430000
WONTHAGGI,215000,257000,260000,306500,315000,398000
WOODEND,422000,430000,560000,470000,516000,384500
WYNDHAM VALE,240000,211000,254500,371000,378000,NA
YARRA GLEN,410000,397500,580000,498000,425000,NA
YARRA JUNCTION,320000,374000,440000,469000,461500,355000
YARRAVILLE,550000,555000,550000,563000,654000,591000
YARRAWONGA,228000,232500,236000,248000,275000,260000
