,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
586,642,SOUTH YARRA 9/22A Rockley Road VIC 3141,375,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
587,643,HAWTHORN EAST 509/30-32 Lilydale Grove VIC 3123,90,1,1,1,Apartment / Unit / Flat,-37.8248,145.0464,"[145.0464, -37.8248]"
588,644,GEELONG WEST 9/50 Bowlers Avenue VIC 3218,450,1,1,1,Apartment / Unit / Flat,-38.1343,144.3241,"[144.3241, -38.1343]"
589,645,HAWTHORN 3/11 Austin Street VIC 3122,435,2,1,0,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
590,646,ST KILDA 201/7 Brighton Road VIC 3182,420,2,1,1,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]"
591,647,DOCKLANDS 1401N/889 Collins St VIC 3008,590,2,1,1,Apartment / Unit / Flat,-37.8149,144.9505,"[144.9505, -37.8149]"
592,648,MALVERN EAST 708B Waverley Road VIC 3145,550,2,1,1,Apartment / Unit / Flat,-37.874,145.0425,"[145.0425, -37.874]"
593,650,BRIGHTON EAST 2/14 Palmer Avenue VIC 3187,370,2,1,1,Apartment / Unit / Flat,-37.9014,145.0188,"[145.0188, -37.9014]"
594,652,HUGHESDALE 1/9 Hotham Street VIC 3166,520,4,2,1,Apartment / Unit / Flat,-37.8995,145.0811,"[145.0811, -37.8995]"
595,653,CHADSTONE 2/20 Thurloo Street VIC 3148,480,2,1,1,Apartment / Unit / Flat,-37.8833,145.1167,"[145.1167, -37.8833]"
596,654,ARMADALE 303/835 High Street VIC 3143,1100,2,2,1,Apartment / Unit / Flat,-37.85,145.0333,"[145.0333, -37.85]"
597,655,SOUTH YARRA 19/43 Caroline Street VIC 3141,370,1,1,0,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
598,656,FOOTSCRAY 2/23-25 Steet Street VIC 3011,325,2,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
599,657,ST KILDA 15/18 Princes Street VIC 3182,565,2,1,1,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]"
600,658,EAST MELBOURNE 2/8 Wellington Crescent VIC 3002,750,2,2,2,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
601,660,SOUTHBANK 1103/33 Clarke Street VIC 3006,350,1,1,0,Apartment / Unit / Flat,-37.8228,144.9643,"[144.9643, -37.8228]"
602,662,BRUNSWICK 603/611 Sydney Road VIC 3056,420,1,1,1,Apartment / Unit / Flat,-37.7667,144.9667,"[144.9667, -37.7667]"
603,663,FITZROY NORTH 51/378-390 St Georges Road VIC 3068,450,1,1,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]"
604,664,ELWOOD 103/51 Ormond Esplanade VIC 3184,550,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
605,665,SOUTHBANK 5/116 Dodds Street VIC 3006,675,3,1,1,Apartment / Unit / Flat,-37.8228,144.9643,"[144.9643, -37.8228]"
606,667,ASHBURTON 2A St Georges Cres VIC 3147,380,2,1,2,Apartment / Unit / Flat,-37.8626,145.0794,"[145.0794, -37.8626]"
607,668,EAST MELBOURNE Unit 101/170 Albert St VIC 3002,435,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
608,669,COLLINGWOOD 703/75 Wellington St VIC 3066,600,2,1,1,Apartment / Unit / Flat,-37.8,144.9833,"[144.9833, -37.8]"
609,670,PORT MELBOURNE 207/107 Beach Street VIC 3207,820,2,2,1,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
610,671,CARNEGIE 11/2 Belsize Avenue VIC 3163,495,2,1,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
