address,price,beds,baths,parking,propertyTypeFormatted
BRIGHTON 133 North Road VIC 3186,2500,4,2,3,House
CHADSTONE 2 Cole Crescent VIC 3148,570,3,1,4,House
CHADSTONE 8 Railway Parade South VIC 3148,385,2,1,1,House
BENTLEIGH EAST 11 Larman Street VIC 3165,510,4,1,1,House
CAMBERWELL 7 Cooloongatta Road VIC 3124,650,2,1,3,House
HUGHESDALE 10 Swindon Road VIC 3166,650,4,2,2,House
PATTERSON LAKES 24 Wetland Drive VIC 3197,795,4,2,4,House
BRUNSWICK 93 Davies Street VIC 3056,495,2,2,0,House
CLAYTON 68 Margaret Street VIC 3168,500,3,1,3,House
CLAYTON 17 Evelyn Street VIC 3168,495,3,1,3,House
BARANDUDA 10 FOXGLOVE TERRACE VIC 3691,480,3,2,2,House
NEWPORT 201 Mason Street VIC 3015,520,3,1,1,House
WEST MELBOURNE 29 Ireland Street VIC 3003,1200,3,2,1,House
MULGRAVE 77 Wanda Street VIC 3170,500,3,1,3,House
INDIGO VALLEY 846 Indigo Creek Road VIC 3688,650,5,3,3,House
OAKLEIGH 12A Palmer Street VIC 3166,510,2,1,1,House
SOUTH YARRA 10 Marne Street VIC 3141,1000,4,2,2,House
NOTTING HILL 14 Hunsford Road VIC 3168,450,3,1,3,House
LENEVA 50 Streets Road VIC 3691,525,4,2,2,House
BARANDUDA 22 Lanning Street VIC 3691,650,4,2,6,House
MOUNT PLEASANT 246 Elsworth Street VIC 3350,410,4,2,2,House
