,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
135,135,135,141,CARLTON NORTH 345 Station Street VIC 3054,650,2,1,0,House,-37.7866,144.9685,"[144.9685, -37.7866]","[144.9685, -37.7866]",2993.0,2213.3,1784.0,1125.0,1839.4,2319.2
136,136,136,142,BALWYN 37 Kireep Road VIC 3103,720,4,2,2,House,-37.8117,145.081,"[145.081, -37.8117]","[145.081, -37.8117]",4434.0,1658.1,1799.0,2107.4,4037.3,871.6
137,137,137,143,GROVEDALE 75 Pethajohn Parade VIC 3216,600,4,2,2,House,-38.2335,144.3007,"[144.3007, -38.2335]","[144.3007, -38.2335]",4111.0,56547.1,4378.7,11034.2,9297.5,1905.3
138,138,138,144,IVANHOE 89 Marshall Street VIC 3079,510,2,1,2,House,-37.769,145.0431,"[145.0431, -37.769]","[145.0431, -37.769]",6297.3,773.5,1054.9,613.6,448.8,421.2
139,139,139,145,SOUTH YARRA 22 Davis Avenue VIC 3141,1500,3,2,1,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
140,140,140,146,MALVERN EAST 512/803 Dandenong Road VIC 3145,500,2,1,1,House,-37.874,145.0425,"[145.0425, -37.874]","[145.0425, -37.874]",7373.6,1264.1,4127.9,1766.3,915.4,1210.5
141,141,141,147,CAROLINE SPRINGS 16 Macedon Close VIC 3023,450,3,2,2,House,-37.7541,144.7651,"[144.7651, -37.7541]","[144.7651, -37.7541]",3773.4,4544.8,5859.0,2764.3,1320.5,1817.3
142,142,142,148,GLEN HUNTLY 14 Hawson Avenue VIC 3163,540,3,1,2,House,-37.8895,145.0581,"[145.0581, -37.8895]","[145.0581, -37.8895]",6795.0,862.5,3175.1,2760.7,660.4,911.2
143,143,143,149,BUNDOORA 67 Weir Loop VIC 3083,500,3,2,2,House,-37.7062,145.0474,"[145.0474, -37.7062]","[145.0474, -37.7062]",11670.0,5135.1,2201.3,0.0,6135.0,714.1
144,144,144,150,ARMSTRONG CREEK 30 Edenhope Circuit VIC 3217,530,4,2,2,House,-38.2583,144.3083,"[144.3083, -38.2583]","[144.3083, -38.2583]",7492.8,60698.3,8529.9,15185.4,13448.7,2466.8
145,145,145,152,PRAHRAN 93 Chomley Street VIC 3181,685,2,1,0,House,-37.853,144.9929,"[144.9929, -37.853]","[144.9929, -37.853]",11174.5,522.0,878.4,0.0,732.2,1399.2
146,146,146,153,COBURG 100 Clarendon Street VIC 3058,720,3,1,1,House,-37.75,144.9667,"[144.9667, -37.75]","[144.9667, -37.75]",3099.5,888.5,1617.6,1255.4,3204.2,1478.4
147,147,147,154,ST KILDA 61 Acland Street VIC 3182,780,2,1,0,House,-37.8633,144.9802,"[144.9802, -37.8633]","[144.9802, -37.8633]",10796.5,1744.7,3148.3,1528.8,740.9,1247.5
148,148,148,155,OAKLEIGH SOUTH 25 Mimosa Avenue VIC 3167,560,4,1,4,House,-37.927,145.0964,"[145.0964, -37.927]","[145.0964, -37.927]",5683.5,2224.2,3697.0,1872.5,3782.1,1319.7
149,149,149,156,CROYDON 4 Allaware Avenue VIC 3136,500,3,1,2,House,-37.7744,145.2756,"[145.2756, -37.7744]","[145.2756, -37.7744]",9621.1,2971.4,3339.8,3037.1,2817.4,1873.1
150,150,150,157,BRIGHTON EAST 647 Hawthorn Road VIC 3187,990,4,2,1,House,-37.9014,145.0188,"[145.0188, -37.9014]","[145.0188, -37.9014]",3405.6,1886.5,1472.2,1198.2,5494.6,1808.0
151,151,151,158,RICHMOND 57 Baker Street VIC 3121,650,3,1,1,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
152,152,152,159,COBURG 6 Rolls Street VIC 3058,600,3,2,2,House,-37.75,144.9667,"[144.9667, -37.75]","[144.9667, -37.75]",3099.5,888.5,1617.6,1255.4,3204.2,1478.4
153,153,153,160,RINGWOOD EAST 8 Merry Street VIC 3135,550,4,2,2,House,-37.8213,145.2489,"[145.2489, -37.8213]","[145.2489, -37.8213]",4589.3,1252.8,2552.0,1893.1,2122.6,1981.5
154,154,154,161,FITZROY NORTH 62 Clauscen Street VIC 3068,680,2,1,0,House,-37.7865,144.9897,"[144.9897, -37.7865]","[144.9897, -37.7865]",5109.7,726.8,2778.5,2719.6,3817.0,814.9
155,155,155,162,BRIGHTON EAST 78 Marriage Rd VIC 3187,1000,4,2,1,House,-37.9014,145.0188,"[145.0188, -37.9014]","[145.0188, -37.9014]",3405.6,1886.5,1472.2,1198.2,5494.6,1808.0
156,156,156,163,KENSINGTON 25 Wolseley Parade VIC 3031,995,4,2,2,House,-37.7899,144.9226,"[144.9226, -37.7899]","[144.9226, -37.7899]",6468.6,1645.9,2785.1,3685.6,3003.0,3018.8
157,157,157,165,BRIGHTON 21 Elm Grove VIC 3186,700,2,1,1,House,-37.9057,145.0067,"[145.0067, -37.9057]","[145.0067, -37.9057]",2985.3,635.1,670.0,1203.5,5551.3,884.0
158,158,158,166,WINDSOR 26 Thomas Street South VIC 3181,750,3,1,1,House,-37.853,144.9929,"[144.9929, -37.853]","[144.9929, -37.853]",11174.5,522.0,878.4,0.0,732.2,1399.2
159,159,159,167,ABBOTSFORD 97 Stafford Street VIC 3067,625,2,1,0,House,-37.8046,144.9998,"[144.9998, -37.8046]","[144.9998, -37.8046]",7600.5,846.1,719.2,1268.7,2600.4,839.4
160,160,160,168,HAWTHORN EAST 15/40 Harold Street VIC 3123,600,2,2,1,House,-37.8248,145.0464,"[145.0464, -37.8248]","[145.0464, -37.8248]",8166.5,418.2,3637.7,1428.0,1387.6,659.5
161,161,161,169,CARLTON NORTH 46 Princes St VIC 3054,550,2,1,0,House,-37.7866,144.9685,"[144.9685, -37.7866]","[144.9685, -37.7866]",2993.0,2213.3,1784.0,1125.0,1839.4,2319.2
162,162,162,170,BENTLEIGH EAST 31 Magnolia Avenue VIC 3165,815,3,2,3,House,-37.9201,145.0599,"[145.0599, -37.9201]","[145.0599, -37.9201]",4386.1,2157.3,1797.0,1730.3,4566.4,1317.7
163,163,163,171,RICHMOND 25 Chestnut Street VIC 3121,1100,3,2,0,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
164,164,164,172,RICHMOND 46 Loyola Grove VIC 3121,750,3,2,2,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
165,165,165,173,ARMSTRONG CREEK 22 Falcon Street VIC 3217,480,4,2,2,House,-38.2583,144.3083,"[144.3083, -38.2583]","[144.3083, -38.2583]",7492.8,60698.3,8529.9,15185.4,13448.7,2466.8
166,166,166,174,CAULFIELD SOUTH 24 Brooklyn Avenue VIC 3162,695,2,1,2,House,-37.0,145.0,"[145.0, -37.0]","[145.0, -37.0]",84865.1,78589.5,71347.0,0.0,78927.4,13207.1
167,167,167,175,HUGHESDALE 26 Austin Street VIC 3166,550,3,1,2,House,-37.8995,145.0811,"[145.0811, -37.8995]","[145.0811, -37.8995]",6705.9,845.7,1665.9,3840.8,1350.8,959.4
168,168,168,176,GLEN WAVERLEY 38 Kauri Grove VIC 3150,520,3,2,1,House,-37.8891,145.174,"[145.174, -37.8891]","[145.174, -37.8891]",3429.9,2201.1,3820.0,1326.2,1813.9,1265.9
169,169,169,177,SOUTH YARRA 57 Lang Street VIC 3141,650,2,1,1,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
170,170,170,178,RINGWOOD NORTH 29 Melview Drive VIC 3134,600,3,2,2,House,-37.7667,145.25,"[145.25, -37.7667]","[145.25, -37.7667]",11679.4,5549.3,5144.1,5615.0,5395.3,1548.8
