,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
104,345,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
105,320,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
106,320,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
107,395,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
108,395,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
109,335,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
110,335,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
111,350,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
112,350,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
113,330,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
114,330,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
115,450,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
116,450,ST KILDA EAST,2,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
117,310,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
118,310,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
119,320,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
120,320,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
