Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,train_station
80,90,GLEN IRIS 310/770B Toorak Road Road VIC 3146,80,1,1,1,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]",0.0
81,91,BOX HILL 3/1 John Street VIC 3128,420,2,1,1,Apartment / Unit / Flat,-37.8256,145.1232,"[145.1232, -37.8256]",0.0
82,92,BALWYN 4/84 Rochester Rd VIC 3103,480,2,1,1,Apartment / Unit / Flat,-37.8117,145.081,"[145.081, -37.8117]",0.0
83,93,CAULFIELD NORTH 8/62 Hawthorn Road VIC 3161,600,2,2,2,Apartment / Unit / Flat,-37.8764333,145.0239926,"[145.0239926, -37.8764333]",0.0
84,94,BURWOOD 108/326-328 Burwood Highway VIC 3125,500,2,1,1,Apartment / Unit / Flat,-37.8498,145.119,"[145.119, -37.8498]",0.0
85,95,HUGHESDALE 1/30 Swindon Road VIC 3166,420,2,1,1,Apartment / Unit / Flat,-37.8995,145.0811,"[145.0811, -37.8995]",0.0
86,96,GLEN IRIS 3/76 Glen Iris Road VIC 3146,415,2,1,2,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]",0.0
87,98,MELBOURNE 1507/12 Queens Rd VIC 3004,700,2,2,1,Apartment / Unit / Flat,-37.814,144.9633,"[144.9633, -37.814]",0.0
88,100,ELSTERNWICK 806/18 McCombie St VIC 3185,520,2,2,1,Apartment / Unit / Flat,-37.8984,145.0088,"[145.0088, -37.8984]",0.0
89,101,OAKLEIGH 109/6 Dalgety Street VIC 3166,500,1,1,1,Apartment / Unit / Flat,-37.8995,145.0811,"[145.0811, -37.8995]",0.0
90,102,MURRUMBEENA 4/15 Howe Street VIC 3163,290,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]",0.0
91,103,RICHMOND 6/137 Coppin Street VIC 3121,360,1,1,0,Apartment / Unit / Flat,-37.8271,145.0064,"[145.0064, -37.8271]",0.0
92,104,FOOTSCRAY 2308/6 Joseph Road VIC 3011,400,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]",0.0
93,105,BRUNSWICK EAST 2005/178 Edward Street VIC 3057,550,2,1,1,Apartment / Unit / Flat,-37.7603,144.9502,"[144.9502, -37.7603]",0.0
