,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
208,MELBOU11488,Wesley Lions Gymnastics,St Kilda,MELBOURNE,3181.0,,,,"577 St Kilda Road, MELBOURNE 3181",
209,MELTON9050,Body Style World of Health & Fitness,McKenzie,MELTON,3337.0,-37.685,144.581,,"41 McKenzie Street, MELTON 3337",337 A9
210,MELTON9057,Contours Caroline Springs Fitness Studio,Caroline Springs,CAROLINE SPRINGS,3023.0,-37.732122,144.741538,," Caroline Springs Boulevard, CAROLINE SPRINGS 3023",356 H10
211,MELTON9082,Obsessed with Fitness,Westwood,RAVENHALL,3023.0,-37.771128,144.754312,,"3/7-9 Westwood Drive, RAVENHALL 3023",356 K8
212,MELTON9061,Gymnastics Unlimited Caroline Springs,Westwood,RAVENHALL,3023.0,-37.764999,144.752,,"5/51-53 Westwood Drive, RAVENHALL 3023",358 K7
213,MELTON11489,Melton Gymnastic Academy,Collins,MELTON,3337.0,,,,"9 Collins Road, MELTON 3337",
214,MILDUR9104,Fitness Master,Lemon,MILDURA,3500.0,-34.187,142.1665,,"28 Lemon Avenue, MILDURA 3500",535 q6
215,MILDUR11511,Mildura Gymnastic Club,Westcliffs,RED CLIFFS,3496.0,,,,"18 Westcliffs Avenue, RED CLIFFS 3496",
216,MOIRAS12198,Numurkah Aquatic & Fitness Centre,Melville,NUMURKAH,3636.0,-36.096993,145.44205,," Melville Street, NUMURKAH 3636",670 C4
217,MOIRAS12208,Priority Fitness,Acacia ,YARRAWONGA,3730.0,,,,"1 Acacia  Street, YARRAWONGA 3730",
218,MONASH11988,Back2Base Health & Fitness,Muir,MT WAVERLEY,3149.0,-37.867916,145.137746,,"67 Muir Street, MT WAVERLEY 3149",
219,MONASH11999,Challenge Fitness Centre,Burlington,OAKLEIGH,3166.0,-37.901764,145.092321,,"6 Burlington Street, OAKLEIGH 3166",69 G8
220,MONASH12014,Fitness Central,High St,MT WAVERLEY,3149.0,-37.872432,145.147259,,"558 High St Road, MT WAVERLEY 3149",61 B11
221,MONASH12016,Fitness First,Coleman,GLEN WAVERLEY,3150.0,-37.876646,145.148006,,"3 Coleman Parade, GLEN WAVERLEY 3150",70 K1
222,MONASH12015,Fitness First - Malvern Valley,Waverley,CHADSTONE,3148.0,-37.87708,145.083199,," Waverley Road, CHADSTONE 3148",
223,MONASH12033,Leading Edge Health & Fitness,Springvale,GLEN WAVERLEY,3150.0,,,,"452 Springvale Road, GLEN WAVERLEY 3150",71 B5
224,MONASH12034,Lifestyle Fitness,Ferntree Gully,WHEELERS HILL,3150.0,,,,"355 Ferntree Gully Road, WHEELERS HILL 3150",71 D9
225,MONASH11990,Next Level Fitness HQ,Centre,CLAYTON,3168.0,-37.930062,145.134576,,"1535 Centre Road, CLAYTON 3168",79 A3
226,MONASH12052,Perfectfit Gym,Waverley ,MALVERN EAST,3145.0,,,,"135 Waverley  Road, MALVERN EAST 3145",
227,MONASH12053,Pinewood Fitness,The,MT WAVERLEY,3149.0,,,,"15 The Centreway, MT WAVERLEY 3149",
228,MONASH12012,Zap Fitness Clayton,Dandenong,CLAYTON,3168.0,-37.909935,145.118863,,"1668 Dandenong Road, CLAYTON 3168",70 A7
229,MONASH11469,Brentwood Gymnastics Club,Ferntree Gully,GLEN WAVERLEY,3150.0,,,,"649 Ferntree Gully Road, GLEN WAVERLEY 3150",
230,MONASH11470,Waverley Gymnastics Centre,High Street,GLEN WAVERLEY,3150.0,,,,"620 High Street Road, GLEN WAVERLEY 3150",
231,MONASH11496,Waverley Gymnastics Centre Mt Waverley,Dorrington,MT WAVERLEY,3149.0,,,,"7 Dorrington Drive, MT WAVERLEY 3149",
